sub_id,from,to,response,rt
6,1,4,3,2827
6,8,3,4,2790
6,2,5,2,2780
6,3,4,4,2739
6,8,10,10,3606
6,1,8,6,7194
6,4,7,1,2966
6,5,13,1,2509
6,10,7,0,2834
6,7,3,2,2439
6,3,2,7,2798
6,11,12,2,3986
6,13,11,2,2859
6,8,5,2,2723
6,9,3,3,3726
6,10,8,10,3064
6,2,6,5,3509
6,13,4,2,2809
6,12,5,1,6238
6,1,13,2,2685
6,1,2,6,2599
6,8,11,3,2372
6,2,10,4,4251
6,6,5,2,2748
6,11,4,2,2204
6,10,2,3,2257
6,7,1,1,2879
6,13,7,1,2332
6,2,9,3,3629
6,10,5,2,4112
6,8,13,3,2735
6,9,4,3,3569
6,2,8,3,3290
6,11,10,2,2557
6,3,12,2,3200
6,12,10,2,2730
6,9,2,4,3953
6,9,1,3,2464
6,13,10,1,2976
6,11,5,2,2954
6,9,8,2,2559
6,13,8,0,2196
6,4,2,8,5271
6,7,5,3,2869
6,2,13,1,3752
6,3,6,3,3864
6,5,6,2,2378
6,1,11,4,2720
6,5,3,2,2382
6,10,11,3,3244
6,3,13,1,3270
6,11,8,2,2427
6,5,11,1,3327
6,7,10,1,2851
6,3,1,3,2573
6,12,2,2,4231
6,11,7,2,3818
6,5,12,2,2360
6,7,11,3,2606
6,13,1,1,2231
6,12,9,1,2568
6,11,2,1,2384
6,3,8,3,2140
6,7,8,2,3139
6,6,13,1,4336
6,10,12,2,2409
6,8,7,2,2547
6,10,4,4,2906
6,9,11,2,4290
6,9,6,3,3827
6,12,3,2,3151
6,6,7,5,4031
6,7,12,2,2422
6,13,6,1,2498
6,3,5,2,4075
6,12,4,2,2579
6,13,3,1,3658
6,13,5,1,3422
6,2,1,7,3778
6,9,7,3,2782
6,1,9,3,3789
6,3,7,2,2651
7,10,1,5,12546
7,2,12,6,10957
7,9,2,5,9523
7,12,13,5,6850
7,7,11,5,3151
7,1,2,7,4405
7,8,10,5,9933
7,2,7,5,4046
7,1,12,5,5175
7,5,6,5,11597
7,7,3,5,3772
7,9,6,5,4165
7,11,8,5,3514
7,10,3,6,5873
7,6,7,7,3947
7,2,4,7,8809
7,6,5,5,3408
7,7,6,7,4870
7,6,9,5,2557
7,5,9,5,5424
7,3,8,5,5233
7,6,1,5,2279
7,4,5,6,12612
7,4,6,6,4337
7,8,13,5,3195
7,4,1,6,4669
7,3,10,5,2912
7,9,13,5,3419
7,10,7,5,4347
7,7,9,5,3885
7,1,9,5,2501
7,6,12,5,2215
7,13,4,5,10305
7,11,13,5,2917
7,10,6,6,4205
7,12,11,8,12692
7,1,6,5,2157
7,6,8,5,6007
7,13,2,7,4033
7,12,10,7,4677
7,11,7,5,3977
7,9,10,5,4645
7,11,6,5,9760
7,6,11,5,3006
7,8,1,5,3065
7,6,2,6,22865
7,5,3,8,3497
7,11,10,5,3240
7,3,7,5,2669
7,2,9,5,5302
7,13,5,5,4256
7,10,13,5,3996
7,8,5,5,3371
7,13,1,6,7896
7,12,8,5,6968
7,8,12,5,2504
7,13,10,5,3428
7,5,7,7,2571
7,4,2,8,3721
7,7,10,6,4451
7,13,6,6,3999
7,12,2,6,3340
7,12,1,5,1963
7,7,13,6,5880
7,10,2,5,32666
7,8,3,5,2673
7,8,2,6,2896
7,9,4,6,2942
7,2,5,7,4843
7,1,13,6,3768
7,3,11,5,2365
7,1,11,5,3375
7,1,5,5,2123
7,6,10,6,3480
7,10,5,5,2620
7,12,5,5,2643
7,10,4,6,3401
7,4,9,5,3406
7,9,11,5,2912
7,9,8,7,4161
7,11,2,6,2951
7,5,2,7,5402
7,13,7,6,4268
7,1,4,7,5346
7,8,7,5,2781
7,3,6,6,3426
7,3,1,5,3077
7,6,3,5,9716
7,1,7,5,2484
7,1,3,5,4234
7,13,12,5,2523
7,11,1,5,2668
7,7,12,5,4249
7,7,1,6,3346
7,7,5,8,4578
7,3,9,5,2908
7,3,13,5,2673
7,7,2,6,6912
7,10,11,5,4247
7,5,4,8,4766
7,13,8,5,5612
7,4,7,5,5030
7,2,3,6,10537
7,9,3,5,2501
7,4,13,6,4741
7,12,3,5,2371
7,4,11,5,9745
7,5,10,5,2227
7,12,4,6,10832
7,9,5,5,3084
7,12,7,5,2703
7,11,5,5,8961
7,6,13,7,3152
