subject,age,gender,total_group,mutual,response
157,22,female,many,high,2
158,39,male,many,high,2
159,31,female,many,high,2
160,30,male,many,high,1
161,39,male,many,high,2
162,44,female,many,high,2
163,54,male,many,high,3
164,64,female,many,high,3
165,35,male,many,high,2
166,34,male,many,high,2
167,36,male,many,high,2
168,24,male,many,high,2
169,32,male,many,high,3
170,40,male,many,high,-2
171,32,male,many,high,3
172,28,female,many,high,3
173,36,male,many,high,3
174,57,female,many,high,2
175,32,female,many,high,2
176,42,male,many,high,2
177,29,male,many,high,2
178,43,male,many,high,3
179,34,male,many,high,3
180,40,female,many,high,3
